country,total_co2,mean_co2,std_co2,years_count,pc1,pc2,cluster
Nigeria,4632.5380000000005,42.50034862385321,46.10169233564717,109,-0.4025273966472342,0.09003390961155401,0
Niue,0.307,0.0056851851851851855,0.0018614670018621507,54,-0.7727146743323443,-1.0165779048413421,0
Non-OECD (GCP),782870.845,4499.257729885057,6810.299181376237,174,7.824545170861825,-0.772183676918156,1
North America,496266.37,2852.105574712644,2487.4433598677692,174,4.080811787628591,0.2741349596195375,1
North America (GCP),488467.952,2807.28708045977,2432.4256814258656,174,4.0078854975372495,0.294427403078074,1
North America (excl. USA),64583.825,371.171408045977,433.2598751525493,174,0.5022072405266726,1.2679391346701816,2
North Korea,5428.408,47.20354782608696,48.49339098472342,115,-0.3624404203930977,0.21084732727430078,0
North Macedonia,532.497,4.1601328125,3.849853160858827,128,-0.3469677131460776,0.49247986654869697,2
Norway,2748.351,15.795120689655173,15.986945770779215,174,-0.06727109987997514,1.426364131649555,2
OECD (GCP),979918.557,5631.715844827587,4726.568603482653,174,8.061414252379079,-0.8311666342250297,1
Oceania,22154.435,127.32433908045978,157.50422148824603,174,0.1163332926590641,1.3752652494521969,2
Oceania (GCP),21954.048,126.1726896551724,155.57595633368328,174,0.11422154415414924,1.3758538900055306,2
Oman,1579.031,26.317183333333332,25.71716947053055,60,-0.708030276793242,-0.9026456624199977,0
Pakistan,5713.489,73.24985897435897,69.62768915270769,78,-0.5481002972197039,-0.5512939949349625,0
Palau,11.215,0.16253623188405797,0.06887896027050232,69,-0.6874024340635777,-0.7104128791707562,0
Palestine,70.79299999999999,2.082147058823529,0.935407288778625,34,-0.8845233215088606,-1.4253390130560575,0
Panama,354.667,2.9555583333333333,3.5291591966393483,120,-0.393716884710105,0.3295376428249294,2
Papua New Guinea,201.711,2.7258243243243245,2.461041729303432,74,-0.6559715243805297,-0.6091930381487379,0
Paraguay,201.564,1.5042089552238807,2.2831506890241346,134,-0.3160401411343733,0.6158340792093792,2
Peru,2062.04,12.274047619047618,15.118770058887968,168,-0.10569440372081611,1.3050862452537753,2
Philippines,3813.84,33.45473684210526,40.98445012657754,114,-0.3837860640971431,0.19478593390637403,0
Poland,28724.69,165.0844252873563,145.31405776675183,174,0.15071296965520173,1.365815528048923,2
Portugal,2732.029,17.740448051948054,21.4004310444776,154,-0.1773430874543429,1.0171095993155603,2
Qatar,2427.583,32.36777333333333,34.70129205615905,75,-0.6129236348745616,-0.5992120975827018,0
Romania,8791.782,52.962542168674695,62.20260781336311,166,-0.053235413733380796,1.2465024747260107,2
Russia,121266.484,721.8243095238095,818.382065900594,168,1.0045394693125238,0.9962264704414773,2
Rwanda,34.266,0.46305405405405403,0.41200847483941866,74,-0.658626222630424,-0.6084525206486263,0
Ryukyu Islands (GCP),0.8180000000000001,0.021526315789473685,0.044738723079861153,38,-0.8635276172270796,-1.3432059707396078,0
Saint Helena,0.419,0.009522727272727273,0.0029530326261881907,44,-0.8294884857801339,-1.2207160224977076,0
